nome_completo,data_nascimento,idade,rg,cpf,uf_atendimento,data_atendimento,modo_chegada,historico_comorbidades,pressao_sistolica,pressao_diastolica,frequencia_cardiaca,frequencia_respiratoria,temperatura_celsius,spo2_porcento,taxa_hesitacao_porcento,instabilidade_emocional_vocal_porcento,diagnostico_realizado,houve_internacao,urgencia_critica
Asafe Brito,1995-11-07,30,605132847,236.951.847-28,BA,2026-07-31 02:34:26,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,131,82,40,18,36.7,95,10.39,79.66,Refluxo Gastroesofágico,0,0
Vicente Vieira,1995-11-01,30,637402510,841.759.632-19,PB,2026-06-16 09:52:34,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,94,82,105,15,37.2,99,76.23,56.37,Refluxo Gastroesofágico,0,0
Marcos Vinicius Pereira,1937-08-03,89,306451724,241.986.307-04,PI,2026-08-21 01:26:00,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,94,79,108,19,38.0,97,78.69,24.65,Mialgia (Dor Muscular),0,0
Juliana Mendonça,2004-09-27,22,078641329,658.273.190-40,PR,2026-09-05 02:10:59,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,125,87,74,23,35.6,98,83.59,67.09,Mialgia (Dor Muscular),0,0
Maitê Pereira,1963-02-13,63,705632817,016.983.547-20,MG,2025-10-17 17:00:19,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,122,68,116,10,37.4,93,58.39,76.67,Mialgia (Dor Muscular),0,0
Maitê Freitas,1939-10-25,86,210453679,621.089.347-31,AP,2026-02-01 10:48:56,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,107,100,83,20,36.2,92,50.72,84.45,Infarto Agudo do Miocárdio,1,1
Manuela Dias,1983-01-20,43,72450381X,823.107.546-17,SP,2025-12-19 02:17:47,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,122,76,86,15,37.2,93,26.26,28.21,Refluxo Gastroesofágico,0,0
Luiz Miguel Rios,1941-07-29,85,08364751X,675.108.294-02,PE,2026-03-28 09:59:19,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,151,60,93,20,36.5,94,65.52,2.56,Mialgia (Dor Muscular),0,0
Maria Flor Pimenta,1981-09-16,45,045126732,597.806.243-92,RR,2025-11-19 19:04:28,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,133,82,164,13,38.2,96,44.46,51.0,Insuficiência Respiratória,1,1
Luiz Henrique Farias,1941-01-25,85,654037218,276.354.098-83,PR,2026-03-26 11:28:02,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,97,67,118,23,36.6,100,97.08,85.61,Crise de Ansiedade,0,0
Alexandre Marques,1989-08-01,37,285703614,490.218.573-32,AC,2026-06-12 16:51:05,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,117,89,102,22,36.0,97,96.82,20.78,Crise de Ansiedade,0,0
Sra. Cecilia Alves,1939-09-11,87,038645270,208.495.731-14,MS,2026-07-25 21:21:53,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,103,113,62,20,36.8,98,90.52,42.11,Refluxo Gastroesofágico,0,0
Camila Moura,1965-07-01,61,408625132,276.389.150-03,PR,2026-07-15 01:17:41,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,112,68,88,21,36.8,97,36.01,25.64,Crise de Ansiedade,0,0
Josué Freitas,1948-08-30,78,806241731,391.762.804-03,AC,2025-12-05 15:21:00,Acompanhada por familiares apresentando dispneia leve.,Asma,111,84,64,14,37.4,92,36.8,1.34,Crise Hipertensiva Severa,0,1
Olívia Moraes,1981-09-07,45,654371805,274.059.681-20,PE,2025-11-10 17:53:01,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,110,53,105,14,36.9,97,85.27,89.85,Cefaleia Tensional,0,0
Esther Abreu,1950-01-11,76,217045686,516.984.370-48,AM,2025-12-27 11:50:03,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,94,86,88,21,38.5,97,72.91,13.51,Cefaleia Tensional,0,0
Luna Almeida,1978-04-01,48,640273518,916.053.842-24,AL,2026-08-19 03:01:03,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,117,66,56,14,36.4,100,70.44,76.68,Crise de Ansiedade,0,0
Maria Cecília Aparecida,1968-02-03,58,304867251,174.328.650-35,RJ,2026-04-05 15:03:32,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,108,70,87,25,36.4,92,27.96,34.66,Infarto Agudo do Miocárdio,1,1
Sra. Melina da Conceição,1965-09-28,61,725813064,075.861.942-11,AP,2026-07-08 17:18:40,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,70,63,63,16,36.0,88,83.33,27.77,Insuficiência Respiratória,1,1
Raquel Guerra,1946-03-20,80,670285134,704.653.298-29,DF,2025-10-23 10:17:40,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,161,90,88,20,36.6,97,57.94,94.1,Crise de Ansiedade,0,0
Dra. Anna Liz Ferreira,1989-01-07,37,817536206,715.806.349-66,MA,2026-02-16 07:24:00,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,141,95,63,28,36.7,98,44.69,65.72,Refluxo Gastroesofágico,0,0
Olívia Ribeiro,1951-10-29,74,420375612,174.680.392-40,SE,2025-12-08 09:52:56,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,112,80,85,14,36.7,96,86.54,68.69,Mialgia (Dor Muscular),0,0
Srta. Maria Isis da Rocha,1956-02-26,70,745218039,312.054.896-06,DF,2026-01-06 12:02:28,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,120,67,103,18,36.6,97,39.42,75.97,Refluxo Gastroesofágico,0,0
Evelyn Silva,1936-12-15,89,823107656,567.123.904-43,SE,2025-11-17 19:55:18,Acompanhada por familiares apresentando dispneia leve.,Asma,96,103,83,23,36.0,100,65.39,34.09,Crise de Ansiedade,0,0
Vicente Oliveira,1971-11-19,54,681042576,784.503.219-05,MA,2026-04-08 05:26:49,Acompanhada por familiares apresentando dispneia leve.,Asma,153,68,75,22,35.8,95,46.59,56.37,Cefaleia Tensional,0,0
Dra. Ana Beatriz Cardoso,1968-01-18,58,845320610,601.239.487-03,BA,2026-05-04 18:48:27,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,157,47,90,16,36.2,95,59.27,27.02,Mialgia (Dor Muscular),0,0
Aurora da Rosa,1956-04-11,70,782351049,761.529.403-70,RJ,2026-06-14 12:38:26,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,123,86,102,15,37.4,97,4.05,83.45,Refluxo Gastroesofágico,1,0
Nina Cavalcante,1947-07-30,79,856321746,289.043.567-92,PA,2025-10-23 22:19:54,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,140,63,57,16,37.6,92,46.11,59.93,Crise Hipertensiva Severa,0,1
Bruna Mendes,1987-11-16,38,427683154,359.621.408-42,PA,2025-11-16 21:30:10,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,123,94,91,25,36.4,96,55.65,24.34,Mialgia (Dor Muscular),0,0
Ágatha da Costa,1968-07-04,58,284603570,286.437.509-56,MA,2025-12-02 17:49:54,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,93,74,117,16,35.7,96,49.27,89.98,Cefaleia Tensional,0,0
Heitor Cavalcante,1945-12-05,80,674203586,586.049.123-98,DF,2026-03-19 16:56:35,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,111,89,99,18,36.4,100,84.74,58.08,Cefaleia Tensional,1,0
Aurora Caldeira,1965-03-01,61,15620874X,758.469.132-37,AM,2026-07-03 22:25:08,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,122,101,86,15,38.2,95,31.11,49.5,Mialgia (Dor Muscular),0,0
Ana Castro,1998-09-24,28,734861023,320.674.895-00,BA,2026-04-25 01:17:22,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,110,61,100,21,37.3,97,88.41,3.45,Refluxo Gastroesofágico,0,0
Dr. João Lucas Câmara,1984-09-28,42,361724585,945.037.628-00,AM,2026-01-12 01:43:01,Acompanhada por familiares apresentando dispneia leve.,Diabetes,115,71,96,18,36.9,100,40.35,90.98,Refluxo Gastroesofágico,0,0
Sra. Olívia Rios,1979-04-06,47,26305178X,715.624.938-09,PE,2026-05-29 23:28:34,Acompanhada por familiares apresentando dispneia leve.,Diabetes,118,78,103,12,37.3,93,69.45,95.23,Mialgia (Dor Muscular),0,0
Davi Luiz Nascimento,1960-11-18,65,572840615,053.871.469-75,RS,2025-12-17 01:16:46,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,118,103,40,13,37.7,100,8.67,56.26,Refluxo Gastroesofágico,0,0
Rebeca Borges,1976-04-11,50,375021863,762.831.540-26,PI,2026-01-28 18:31:22,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,121,70,46,10,35.6,100,20.02,44.25,Refluxo Gastroesofágico,0,0
Sra. Heloisa Oliveira,1942-06-13,84,735208463,685.432.710-53,MT,2026-06-09 05:51:08,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,98,71,110,13,36.2,96,76.12,35.96,Crise de Ansiedade,0,0
Ana Luiza Ramos,1999-06-02,27,126357808,157.924.863-28,AM,2026-05-20 02:08:47,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,105,87,47,21,36.1,94,1.23,26.8,Crise de Ansiedade,0,0
Dr. Mateus Rezende,1988-08-27,38,612405382,546.218.370-44,PE,2026-02-28 07:53:15,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,94,71,95,24,37.0,100,96.85,57.45,Refluxo Gastroesofágico,0,0
Maya da Conceição,1996-01-11,30,163245873,079.682.314-69,BA,2026-06-26 00:43:58,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,139,82,76,21,36.6,100,19.06,12.81,Cefaleia Tensional,0,0
José Pedro Camargo,2003-02-05,23,430657213,052.183.946-70,AP,2026-04-28 08:16:33,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,77,56,60,20,37.1,97,90.13,91.92,Refluxo Gastroesofágico,0,0
Caio Camargo,2003-02-12,23,62583740X,713.028.645-80,SC,2025-11-11 20:14:15,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,143,113,93,17,36.1,100,51.59,17.6,Refluxo Gastroesofágico,0,0
Luigi Sousa,2007-06-01,19,051762341,018.539.674-75,RO,2026-06-21 22:43:08,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,147,59,90,21,37.6,100,56.46,74.55,Mialgia (Dor Muscular),0,0
Esther Souza,1977-01-02,49,308157424,541.960.728-01,MG,2025-12-31 01:09:38,Acompanhada por familiares apresentando dispneia leve.,Diabetes,113,75,137,19,36.4,95,8.41,30.69,Refluxo Gastroesofágico,0,0
Léo Cardoso,2003-10-20,22,564083719,140.872.635-17,GO,2026-07-13 15:46:57,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,70,79,69,27,37.1,97,36.52,22.61,Mialgia (Dor Muscular),0,0
Dr. Alexandre das Neves,1940-08-08,86,186307251,673.415.809-84,SP,2026-02-21 20:10:03,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,112,108,121,17,37.5,99,15.62,55.79,Crise de Ansiedade,0,0
Vitor Gabriel Correia,1992-07-03,34,027853147,983.271.456-73,BA,2025-12-18 18:13:32,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,118,60,93,24,37.4,97,52.59,76.51,Cefaleia Tensional,0,0
Mariana Dias,1937-05-22,89,273815647,036.941.528-06,AL,2026-07-18 05:20:03,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,99,109,68,22,36.8,91,55.07,72.67,Trauma Físico Severo,1,1
Sr. Vicente Ribeiro,2004-02-06,22,651320872,529.364.710-52,TO,2025-10-26 22:12:32,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,109,91,104,21,37.2,93,70.97,23.38,Cefaleia Tensional,0,0
Hellena Caldeira,1984-12-23,41,473520618,643.789.521-73,AC,2025-10-21 09:13:47,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,150,86,99,10,37.9,91,87.83,33.05,Infarto Agudo do Miocárdio,1,1
Alexia Nascimento,1954-11-30,71,024765818,254.103.897-60,AL,2026-09-10 15:55:40,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,133,65,85,22,36.9,98,46.82,86.88,Cefaleia Tensional,0,0
Luara Casa Grande,2006-07-24,20,584763104,684.572.193-91,RN,2026-01-18 01:36:26,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,101,88,91,17,35.9,92,23.34,72.32,Trauma Físico Severo,1,1
Henry Monteiro,1950-03-20,76,045827631,348.527.019-97,AC,2026-09-01 03:36:07,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,88,69,70,15,37.0,97,33.36,71.27,Mialgia (Dor Muscular),0,0
Mirella Casa Grande,1968-11-10,57,306782455,754.960.231-06,RJ,2025-12-30 02:10:49,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,113,98,64,10,36.5,100,84.71,26.89,Cefaleia Tensional,0,0
Larissa Casa Grande,1942-03-29,84,035147623,194.065.728-85,PI,2026-06-08 22:50:02,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,115,65,103,17,34.6,100,14.59,79.2,Mialgia (Dor Muscular),0,0
Dra. Ana Beatriz Peixoto,1945-05-31,81,481652735,260.948.375-92,PB,2026-05-15 20:25:46,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,129,78,79,18,36.9,89,62.73,35.84,Trauma Físico Severo,1,1
Dr. Theodoro Sales,2003-09-21,23,863520145,732.685.491-28,RO,2026-04-23 09:22:36,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,109,71,82,11,36.6,91,1.31,40.14,Infarto Agudo do Miocárdio,1,1
João Guilherme Santos,1961-11-08,64,728536419,981.547.320-41,RO,2026-01-04 00:13:56,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,130,65,91,10,37.4,93,24.57,28.76,Mialgia (Dor Muscular),0,0
Pietra Pires,2003-08-31,23,235804162,347.510.629-99,PI,2026-03-13 03:17:12,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,158,91,91,20,35.9,92,59.14,12.14,Infarto Agudo do Miocárdio,1,1
Thales da Rocha,1950-07-09,76,107453289,470.328.561-44,MG,2026-03-24 00:40:24,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,136,88,49,22,35.3,90,45.64,42.04,Infarto Agudo do Miocárdio,1,1
Sra. Ana Liz Farias,2002-08-02,24,42861503X,674.091.382-03,SE,2026-04-17 16:55:31,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,119,98,117,18,36.6,96,49.35,1.69,Cefaleia Tensional,0,0
Gustavo Henrique Siqueira,1965-01-09,61,420185379,160.397.245-52,RN,2026-03-05 09:03:27,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,116,53,88,23,36.8,99,66.06,45.59,Mialgia (Dor Muscular),0,0
Benjamim Vasconcelos,1969-11-01,56,854301768,782.695.341-37,PB,2025-10-05 05:00:36,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,112,95,79,17,36.6,100,23.46,72.5,Refluxo Gastroesofágico,0,0
Ryan Siqueira,2003-05-31,23,057238169,128.670.953-95,CE,2025-11-09 21:43:51,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,143,117,95,17,36.5,95,28.08,96.07,Crise de Ansiedade,0,0
Letícia Ribeiro,1969-08-14,57,345286078,274.039.561-25,PI,2026-06-29 07:07:45,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,107,73,90,13,35.6,95,68.45,7.86,Mialgia (Dor Muscular),0,0
Antônio Novaes,1950-09-08,76,341250764,048.793.516-01,SE,2026-04-20 23:21:15,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,120,108,104,10,36.4,98,53.83,28.13,Mialgia (Dor Muscular),0,0
Maitê Lima,2008-06-12,18,083517261,027.584.361-08,AC,2026-04-07 08:02:17,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,121,76,98,27,36.2,96,1.46,49.41,Mialgia (Dor Muscular),0,0
Olívia Ferreira,2001-12-27,24,541238607,320.875.461-26,RN,2026-02-21 19:32:18,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,109,59,102,23,37.4,100,67.03,17.04,Cefaleia Tensional,0,0
Maria Júlia Barbosa,1985-03-24,41,735601240,365.490.712-16,RN,2026-01-22 14:55:08,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,92,75,118,11,36.8,98,62.01,11.68,Refluxo Gastroesofágico,0,0
Larissa da Paz,1941-06-19,85,186073458,542.169.308-24,MS,2025-11-07 12:49:06,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,126,95,107,18,36.3,95,7.86,45.23,Crise de Ansiedade,0,0
Srta. Maria Júlia Brito,1947-08-28,79,182653407,943.627.158-19,PB,2026-03-20 15:22:57,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,118,67,80,17,37.9,89,74.75,58.07,Trauma Físico Severo,1,1
Lorenzo Sá,1963-06-16,63,78036241X,932.071.584-04,PE,2026-04-13 11:05:00,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,130,70,56,16,36.3,100,52.21,82.02,Cefaleia Tensional,0,0
Ana Júlia Santos,1951-09-15,75,057683414,170.462.538-62,RO,2026-02-05 13:15:18,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,109,88,126,15,36.9,94,20.47,99.78,Crise de Ansiedade,0,0
Raul Rezende,1966-07-12,60,328617507,892.374.051-97,AM,2025-10-01 05:43:09,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,144,80,79,19,36.4,98,55.94,77.43,Cefaleia Tensional,0,0
Davi Miguel Macedo,1995-12-20,30,268310452,125.839.640-89,SP,2026-07-17 00:15:16,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,102,88,73,22,37.8,89,59.55,22.13,Crise Hipertensiva Severa,1,1
Sra. Lavínia Casa Grande,2007-03-28,19,470381528,309.264.581-24,SC,2025-11-05 10:31:13,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,154,83,41,20,36.6,96,92.01,74.8,Mialgia (Dor Muscular),0,0
Henrique Souza,1958-12-04,67,75186304X,304.159.762-43,SE,2025-09-24 09:42:01,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,85,87,93,17,36.6,97,74.21,53.72,Crise de Ansiedade,0,0
Anthony Fonseca,1969-11-15,56,142650730,705.293.861-86,AC,2026-07-15 03:57:47,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,128,73,88,17,36.4,97,30.19,45.08,Mialgia (Dor Muscular),0,0
Dra. Bella Rocha,1975-08-06,51,853741207,130.842.657-71,AM,2026-08-10 18:48:33,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,129,83,47,22,36.7,100,11.81,93.57,Cefaleia Tensional,0,0
Marcos Vinicius Lima,2007-01-04,19,625408172,713.054.698-01,AC,2025-10-11 23:30:11,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,104,66,96,20,37.5,94,85.32,70.21,Crise de Ansiedade,0,0
Eloá Araújo,1963-03-06,63,154762088,852.391.740-32,ES,2025-12-13 05:55:58,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,128,99,72,18,37.2,100,84.61,68.17,Refluxo Gastroesofágico,0,0
Luiz Henrique Melo,1949-08-17,77,476830126,653.280.741-90,MS,2025-10-23 10:58:54,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,145,70,152,17,36.5,99,17.53,1.18,Mialgia (Dor Muscular),1,0
Benjamim Campos,1968-05-24,58,381076520,192.806.543-06,ES,2026-09-03 12:38:53,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,75,96,70,19,37.9,94,6.21,86.51,Refluxo Gastroesofágico,0,0
Maitê Pastor,2000-10-20,25,472305682,361.784.092-22,AL,2026-05-25 23:32:20,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,130,76,74,15,37.2,100,71.19,79.33,Crise de Ansiedade,0,0
Clarice Pires,1975-07-12,51,762501480,154.073.289-41,GO,2026-08-17 11:29:54,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,70,83,63,22,36.1,96,72.26,29.89,Crise de Ansiedade,0,0
Sra. Isabelly Andrade,1958-02-23,68,081345628,038.275.916-86,PE,2026-07-04 18:46:40,Acompanhada por familiares apresentando dispneia leve.,Diabetes,100,72,116,12,35.4,100,17.71,29.21,Crise de Ansiedade,0,0
Isaque Gonçalves,1978-12-26,47,870625433,736.520.948-83,GO,2026-09-03 02:36:50,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,152,64,75,15,36.2,100,66.82,5.35,Cefaleia Tensional,0,0
Liz Sales,1988-09-22,38,534807628,265.310.987-59,PR,2025-10-07 00:18:53,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,108,53,66,21,36.8,97,27.89,5.09,Refluxo Gastroesofágico,0,0
Emanuella Rezende,1948-01-17,78,051376842,610.845.973-57,PA,2026-02-26 16:17:40,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,96,64,102,12,37.0,95,26.06,66.86,Mialgia (Dor Muscular),0,0
Sra. Aurora Vasconcelos,1977-12-25,48,278531040,378.610.429-87,RJ,2026-06-22 17:46:07,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,116,75,50,10,37.6,100,32.45,18.62,Crise de Ansiedade,1,0
Maria Helena da Mota,1939-03-21,87,872104655,185.073.246-90,PR,2026-03-07 12:57:09,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,161,83,100,18,35.6,100,52.04,92.35,Crise de Ansiedade,0,0
Melina Freitas,1998-10-23,27,246173087,072.598.346-92,TO,2026-09-03 02:06:44,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,83,95,129,10,36.1,93,80.45,84.24,Trauma Físico Severo,1,1
Dante Camargo,1957-03-11,69,753410825,820.697.154-85,TO,2026-03-16 11:06:43,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,98,73,99,11,35.6,95,49.86,34.89,Crise de Ansiedade,0,0
Davi Mendonça,1938-11-13,87,48607321X,506.749.182-58,RR,2025-10-20 23:32:21,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,149,66,100,21,35.4,99,29.8,38.01,Mialgia (Dor Muscular),1,0
Sophia Câmara,1995-05-28,31,561827436,495.763.802-00,DF,2026-03-19 04:09:30,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,157,58,106,16,36.0,96,88.4,32.73,Refluxo Gastroesofágico,0,0
Rhavi da Mota,1967-03-16,59,026358177,467.802.531-62,RN,2026-06-05 13:10:15,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,117,87,127,24,36.8,93,5.51,9.24,Refluxo Gastroesofágico,1,0
Dra. Aylla Vieira,1956-07-07,70,364208715,168.425.970-30,PR,2025-11-18 18:26:01,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,95,100,115,11,37.1,99,79.71,3.14,Cefaleia Tensional,0,0
Emilly Gomes,1939-08-04,87,127054364,189.650.732-86,AM,2025-12-01 05:22:19,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,161,98,95,17,35.7,99,78.44,45.21,Crise de Ansiedade,0,0
Maya da Rosa,1968-09-15,58,863107540,480.395.716-93,MG,2025-12-03 19:35:35,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,151,90,107,19,35.9,95,25.35,94.3,Mialgia (Dor Muscular),0,0
Carolina Brito,1985-07-09,41,48652310X,793.045.126-70,MA,2026-08-31 12:52:50,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,133,89,62,12,35.1,97,19.83,91.72,Crise de Ansiedade,0,0
Sr. Vitor Gabriel Cirino,1996-06-19,30,685370410,298.056.143-60,PR,2026-09-13 02:50:05,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,103,105,104,23,36.7,94,87.47,80.98,Crise de Ansiedade,0,0
Alícia Gonçalves,1964-10-22,61,041287356,234.579.018-05,RN,2025-11-23 23:03:38,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,119,84,59,20,35.9,92,55.89,62.86,Crise Hipertensiva Severa,1,1
Zoe Viana,1974-09-22,52,652378146,932.617.805-68,SE,2026-06-04 22:31:23,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,116,89,75,10,37.8,95,4.6,85.62,Refluxo Gastroesofágico,0,0
Rebeca Azevedo,2003-06-14,23,682531704,715.032.648-07,SC,2025-10-07 05:47:35,Acompanhada por familiares apresentando dispneia leve.,Asma,126,75,40,17,36.8,97,89.08,51.51,Refluxo Gastroesofágico,0,0
Zoe Silva,2001-10-19,24,782056416,732.018.654-35,RN,2026-09-02 00:05:37,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,149,59,95,19,36.4,91,34.9,18.02,Crise Hipertensiva Severa,1,1
Camila Sá,1989-10-25,36,854016727,487.013.259-14,AC,2026-03-11 13:52:11,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,137,69,68,15,36.0,95,34.22,68.42,Refluxo Gastroesofágico,0,0
Dante Cirino,1972-03-15,54,467510829,769.351.024-99,RN,2026-05-13 09:03:43,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,98,79,112,10,35.3,97,64.33,92.06,Refluxo Gastroesofágico,0,0
Emilly Abreu,1973-03-17,53,067832519,139.547.602-07,PR,2026-06-06 21:09:47,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,147,80,94,19,35.4,100,66.13,1.96,Refluxo Gastroesofágico,1,0
Melissa Dias,2002-07-16,24,302165472,347.658.092-00,MA,2026-06-09 22:34:42,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,126,108,113,29,36.0,95,35.33,25.14,Mialgia (Dor Muscular),0,0
Asafe Cardoso,1941-03-20,85,715384065,506.382.741-17,BA,2026-02-12 09:02:15,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,133,81,57,16,35.9,92,14.33,26.54,Insuficiência Respiratória,0,1
Gabrielly Rezende,1996-08-10,30,156037488,365.947.082-10,RR,2026-06-26 00:24:46,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,149,97,110,25,35.7,96,55.23,9.9,Refluxo Gastroesofágico,0,0
Caio Novais,1982-05-19,44,613407829,973.241.056-61,RR,2025-11-12 07:05:06,Acompanhada por familiares apresentando dispneia leve.,Diabetes,97,73,137,14,36.8,94,62.52,22.55,Insuficiência Respiratória,1,1
Arthur Gabriel Barros,1999-11-02,26,054827310,057.163.492-34,BA,2025-10-31 10:44:59,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,119,75,104,19,36.9,99,86.02,38.4,Crise de Ansiedade,0,0
